user_id,date,twitter_id,text,media,likes,retweets,related_hashtags,external_links,tweet_link
GlitchSir,2020-07-13 16:41:02,1282716678724427780,1HouseChallengeall the video in my YT ChannelGo likeand comment ,https://video.twimg.com/ext_tw_video/1282715628323975170/pu/pl/1Lb63dBAP8UQPLWQ.m3u8?tag=10,4,1,Fortnite YouTube memesdaily youtubechannel YouTubeLive gaming instagramposts twitch twitchblackout twitchstream gamer  BillionViews Covid    memes     funny FortniteSeason  fortniteevent ,https://t.co/9Esje0bUww,https://twitter.com/id/status/1282716678724427780
Timujin3,2020-07-13 15:37:01,1282700569908396032, @HendoArt Im live Gonna work on DMG and talk about Id rather talk about it than not stream I feel like thats more…,,1548,56,TWITCHBLACKOUT ,https://t.co/7LJU9L22YC,https://twitter.com/id/status/1282700569908396032
XaelSerpent,2020-07-13 13:21:35,1282666486079852546, @PawfulTV Layers of fear 2 continued today ,,0,1,twitchblackout twitchaffiliate SmallStreamerCommunity SmallStreamersConnect ,,https://twitter.com/id/status/1282666486079852546
PawfulTV,2020-07-13 13:16:56,1282665313553833984,Layers of fear 2 continued today ,https://pbs.twimg.com/media/EczxTMUXoAIl1ML.jpg ,0,1,twitchblackout twitchaffiliate SmallStreamerCommunity SmallStreamersConnect smallstreamer smallstreamersupport layersoffear ,https://t.co/iK963Lm90e,https://twitter.com/id/status/1282665313553833984
Killjoytwits,2020-07-13 12:46:46,1282657722576625675,Drop in tell me Im pretty ,,2,0,streamers twitchblackout twitch twitchstreamer ,https://t.co/khB5YsKZW5,https://twitter.com/id/status/1282657722576625675
ParrotSharp,2020-07-13 07:00:20,1282570541870845952,Cmon check this out now ,https://pbs.twimg.com/media/EcybHBKXsAAFHLh.png ,1,0,twitchblackout twitch twitchtv TwitchAffilate twitchstream TwitchStreamers twitchclips twitchcommunity ,"https://t.co/cT32a8DXXO
 https://t.co/dINX2RkfhX",https://twitter.com/id/status/1282570541870845952
GamingRTweeters,2020-07-13 05:59:22,1282555199048089601, @brokenmocn catching up on the pod while getting a few games in ,,3,1,twitch twitchblackout paladins gaming gamer switch ,,https://twitter.com/id/status/1282555199048089601
brokenmocn,2020-07-13 05:58:23,1282554950938238978,catching up on the pod while getting a few games in ,,3,1,twitch twitchblackout paladins gaming gamer switch nintendoswitch ,https://t.co/vNNtEwgJho,https://twitter.com/id/status/1282554950938238978
CDLmist,2020-07-13 05:54:25,1282553952563863552, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282553952563863552
Complicatedd3,2020-07-13 05:19:09,1282545077311733760, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282545077311733760
hyperionmenos,2020-07-13 05:10:37,1282542930432073728, @DinkieTheSink can go fuck itself people have been complaining about Twitch Sexism for years now but ONLY NOW THAT IT…,,24,9,TWITCHBLACKOUT ,,https://twitter.com/id/status/1282542930432073728
ParrotSharp,2020-07-13 04:44:36,1282536380967661568,Its party timeyipeee ,https://pbs.twimg.com/media/Ecx75uaWAAU5eTA.png ,1,0,twitchblackout twitch twitchtv TwitchAffilate twitchstream TwitchStreamers twitchaffiliate twitchclips twitchcommunity ,"https://t.co/OoHGK88Qsk
https://t.co/7cxkb2JWW9",https://twitter.com/id/status/1282536380967661568
Hamza86563794,2020-07-13 04:22:36,1282530844666728448,Life is too short to spend time with people who suck the happiness out of you follow I swear I follow back,,0,0,twitchblackout ,,https://twitter.com/id/status/1282530844666728448
TwitchDESupport,2020-07-13 02:45:05,1282506305454907392, @donsupp who said supports cant carry games OO ,,0,2,LeagueOfLegends thresh sett rakan lolplays lolart riotgames lolmontage ,,https://twitter.com/id/status/1282506305454907392
PushTwitch,2020-07-13 02:29:32,1282502389887651840, @donsupp who said supports cant carry games OO ,,0,2,LeagueOfLegends thresh sett rakan lolplays lolart riotgames lolmontage ,,https://twitter.com/id/status/1282502389887651840
don_supp,2020-07-13 02:29:01,1282502262208770050,who said supports cant carry games OO ,https://pbs.twimg.com/media/EcxdAfBXsAI-qfu.jpg ,0,2,LeagueOfLegends thresh sett rakan lolplays lolart riotgames lolmontage supportmain suppmain highelo fnatic adhoc tyler  aphromoo faker t  twitchtv twitchde newbiestreamer newcomer newstreamer twitchblackout doublelift ,https://t.co/MPUmsLmw4N,https://twitter.com/id/status/1282502262208770050
stream_caster,2020-07-13 01:36:04,1282488936972066817, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282488936972066817
ScrapElite,2020-07-13 01:35:59,1282488914738122752, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282488914738122752
StrawHat_Baee,2020-07-13 01:12:54,1282483107728416770, @TalesOfAZeroh COD w SQUAD ,,1,1,twitchblackout twitch TwitchAffilate twitchtv twitchstream TwitchPartner TwitchStreamers ,,https://twitter.com/id/status/1282483107728416770
proXcannon,2020-07-13 01:09:43,1282482306645663745, @WhyckliffeAbra1 Why wait for Twitch to update your followers when you can follow them up for active viewers Inbox me for step by step…,,0,1,,,https://twitter.com/id/status/1282482306645663745
WhyckliffeAbra1,2020-07-13 01:08:22,1282481964860280836,Why wait for Twitch to update your followers when you can follow them up for active viewers Inbox me for step by step to process ,,0,1,Gamers twitchblackout twitchtv twitchstreamer Twitchaffiliate ,,https://twitter.com/id/status/1282481964860280836
