user_id,date,twitter_id,text,hyperlinks,likes,retweets,related_hashtags,added_url,tweet_link
things4equality,2020-07-12 20:48:46,1282416636117557253,The fact that theres over 23 million pictures on on Instagram but only 9 million signatures on the Breonna Taylor petition really shows how many of you are doing this as performative activism,empty,0,0,BlackOutTuesday ,,https://twitter.com/id/status/1282416636117557253
BillyRayrock1,2020-07-12 20:01:27,1282404728693854208,White trump supports listen up ,empty,1,0,trump     biden     campaignzero blm blackouttuesday blmmovement blmprotest blmovie movement protest trumpsucks trumptweets trumpsupporters trumpmemes fypchallenge ,https://t.co/RpHT7L7KUB,https://twitter.com/id/status/1282404728693854208
LeenaSFarhat,2020-07-12 20:00:48,1282404563153231872,Since Ive helped secure events about race in Wales campaigned to end unfair stop and search working on some Welsh specific diversity training I cant wait to send some donations from my first paycheck as a Graduate to a number of orgs including @privilegecafe ,empty,8,0,BlackOutTuesday ,https://t.co/QAEbHX6I44,https://twitter.com/id/status/1282404563153231872
yunnggheartles,2020-07-12 19:53:28,1282402716082372608, @1uproddy COME SUPPO A BLACK BUSINESS ,https://pbs.twimg.com/media/EcVTl6wXYAYwBUZ.jpg https://pbs.twimg.com/media/EcVTl6xXQAcHxs3.jpg ,3,3,BlackOutTuesday BLACKOUTDAY     BlackLivesMatter BlackOwnedBusiness ,https://t.co/w8TAkyZahv,https://twitter.com/id/status/1282402716082372608
Kaysika2020,2020-07-12 19:52:58,1282402590379081733, @MrTorontoGuy Two presidents two walks around the white house two photo ops htt…,empty,10,6,Obama Trump BlackLivesMattter BlackOutTuesday ,https://t.co/dDqq0dM3CC,https://twitter.com/id/status/1282402590379081733
OG_BOSSCAT,2020-07-12 19:48:25,1282401448060280832, @BLMLA Not sure where shopeatbank for Here’s a pretty great list of Los Angeles Blackowned businesses to patronize…,empty,268,209,BlackoutTuesday ,https://t.co/JRHyptKj2t,https://twitter.com/id/status/1282401448060280832
SonnyakaSunny,2020-07-12 19:45:31,1282400719023345665, @WillyGeeky @GoboMontaco @WTPAREPISSED17 I’m still shopping Been doing a lot of online orders Now that I realize I have to pay attent…,empty,12,5, empty ,,https://twitter.com/id/status/1282400719023345665
DazzDzatron,2020-07-12 19:45:04,1282400604351078400, @VisitM We all need to stand up for humanity Spread the message Justice must be served  ,empty,10,5,BlackLivesMatter ,https://t.co/Bfzfu4bOMw,https://twitter.com/id/status/1282400604351078400
ritafae77,2020-07-12 19:44:28,1282400452357701632, @TheFamilyBeer  @ Family Business Beer Company ,empty,545,67,blacklivesmatter blackouttuesday ,https://t.co/TG7VQsDKjZ,https://twitter.com/id/status/1282400452357701632
SaltyDevil1776,2020-07-12 19:17:27,1282393655018283008,Be an ally Give em 10 Bucks ,https://pbs.twimg.com/media/Ecv6O1DUwAAlqoD.jpg ,0,0,whiteprivelege whiteguilt blm nojusticenopeace blackouttuesday blacklivesmatter trump     biden     usa memes ,https://t.co/U7AmaJqgEI,https://twitter.com/id/status/1282393655018283008
iam_flykicks,2020-07-12 19:10:48,1282391980987813890, @iamflykicks Ladies check me out Fellas cop some for your girl Velvet shorts are here Check ou…,empty,14,9,BlackOutTuesday ShopBlackOwned ,https://t.co/snqQPhF2y6 https://t.co/4dJSIlkXUa,https://twitter.com/id/status/1282391980987813890
anonamed,2020-07-12 18:15:09,1282377976043180064, @reezahendricks Black Lives Matter  ,https://pbs.twimg.com/media/EZg3m2EUEAIS-HP.jpg ,17,2,blackouttuesday ,https://t.co/t2x0V6LoKI,https://twitter.com/id/status/1282377976043180064
EbonyemariaHer,2020-07-12 18:13:38,1282377592251789312, @BlacqOn DRIP DRIP Why Hang Art When You Can Wear It SHOP  ,empty,3,4,blackonblacq blackownedbusiness artist ,"https://t.co/77Y864g6C3

https://t.co/EDHnGryZ7v",https://twitter.com/id/status/1282377592251789312
LindaRo49302113,2020-07-12 17:11:47,1282362028158406656,Add me on Snap bird5924 @ddlovato ,https://pbs.twimg.com/media/EcvddNAUcAEETCO.jpg ,0,0,chat USAonFire BunkerBoy girl blackouttuesday bwc cum fun bored horny BunkerDon boobs wednesdaymorning Beautiful WednesdayWisdom friendship Spoedwet ,https://t.co/6akVsCvgek,https://twitter.com/id/status/1282362028158406656
LeeGree16102866,2020-07-12 16:46:47,1282355739244163074, @MrTorontoGuy Two presidents two walks around the white house two photo ops htt…,empty,10,6,Obama Trump BlackLivesMattter BlackOutTuesday ,https://t.co/dDqq0dM3CC,https://twitter.com/id/status/1282355739244163074
SAMOMOLUABI,2020-07-12 16:41:56,1282354517456162816, @MrTorontoGuy Two presidents two walks around the white house two photo ops htt…,empty,10,6,Obama Trump BlackLivesMattter BlackOutTuesday ,https://t.co/dDqq0dM3CC,https://twitter.com/id/status/1282354517456162816
FOOD_STUFFS1,2020-07-12 16:38:06,1282353550295785473, @readytostare A list of 14 Blackowned businesses that make plus size clothing and aessories to support for ,empty,1436,1305,BlackOutTuesday ,https://t.co/yp2aBX00UO https://t.co/RatO8qG4To,https://twitter.com/id/status/1282353550295785473
baphomct,2020-07-12 16:29:55,1282351491005550592, @readytostare A list of 14 Blackowned businesses that make plus size clothing and aessories to support for ,empty,1436,1305,BlackOutTuesday ,https://t.co/yp2aBX00UO https://t.co/RatO8qG4To,https://twitter.com/id/status/1282351491005550592
MaryJac19189385,2020-07-12 16:23:34,1282349896800989184,Add me on Snap bird5924 @ddlovato ,https://pbs.twimg.com/media/EcvSbTvU8AAnx_h.jpg ,0,0,chat USAonFire BunkerBoy girl blackouttuesday bwc cum fun bored horny BunkerDon boobs wednesdaymorning Beautiful WednesdayWisdom friendship Spoedwet ,https://t.co/XD229XzFGw,https://twitter.com/id/status/1282349896800989184
SaraInniss,2020-07-12 16:04:48,1282345170403500032,I adore an ambitious intelligent Black Man  ,empty,0,0,BlackLivesMatter BLACK LIVES MATTER blackaf BlackOutTuesday ,,https://twitter.com/id/status/1282345170403500032
FajarHyeong,2020-07-12 16:01:33,1282344355471056903, @godJoonPark May God Bless ,empty,83,29,BlackOut     Tuesday BlackoutTuesday GODBLESS ,https://t.co/Uyw4RZp4qU,https://twitter.com/id/status/1282344355471056903
prisluv2,2020-07-12 15:59:16,1282343780872527873,I love what the church offers to us as a culture black people in particular We would be nowhere without the black church Oprah Winfrey ,empty,0,0,blackbeauty loveyou blacklovequotes blackouttuesday oprah oprahwinfrey ,https://t.co/HDsjfdWgtk,https://twitter.com/id/status/1282343780872527873
femtech_,2020-07-12 15:35:37,1282337826382782464, @AnastasiaAshman the organization that @merici founded that produced this panel you just were reading about…,empty,0,3,AdasList antiraacistAdas ,,https://twitter.com/id/status/1282337826382782464
AnastasiaAshman,2020-07-12 15:35:31,1282337804396064768, the organization that @merici founded that produced this panel you just were reading about @AdasList ,empty,0,3,AdasList antiraacistAdas antiracism BLM blacklivesmatter womenintech techtwitter technews diversity inclusion CSR unconsciousbias Discrimination BlackOutTuesday ,,https://twitter.com/id/status/1282337804396064768
BazanNeddy,2020-07-12 15:32:52,1282337135950016512, @morganfreeman Black Lives Matter ,empty,1158,96,blackouttuesday ,https://t.co/La9b1l2TIM,https://twitter.com/id/status/1282337135950016512
Lisa6970014311,2020-07-12 15:30:48,1282336617542201345,Add me on Snap bird5924 @ddlovato ,https://pbs.twimg.com/media/EcvGWWxUcAAi-yh.jpg ,0,0,chat USAonFire BunkerBoy girl blackouttuesday bwc cum fun bored horny BunkerDon boobs wednesdaymorning Beautiful WednesdayWisdom friendship Spoedwet ,https://t.co/idVnPvlQkv,https://twitter.com/id/status/1282336617542201345
cupcakesbyritaa,2020-07-12 15:28:27,1282336026053287938, @ChampaagnneMami On this fine I put my money where it belongs in a black owned business what ha…,empty,2,3,BlackOutTuesday BLACKOUTDAY     ,https://t.co/V65Sl8IxHv,https://twitter.com/id/status/1282336026053287938
Banditsdaisy,2020-07-12 15:27:10,1282335701690769408, @MrTorontoGuy Two presidents two walks around the white house two photo ops htt…,empty,10,6,Obama Trump BlackLivesMattter BlackOutTuesday ,https://t.co/dDqq0dM3CC,https://twitter.com/id/status/1282335701690769408
thurljawn,2020-07-12 15:23:07,1282334682277912576,Everyone who posted a Black square on should be passionately concerned about this since it was a digital action addressing how Black women in the music industry experience similar economic systems to that practiced during chattel slavery ,empty,0,0,BlackOutTuesday ,https://t.co/R0r6EvtlRN,https://twitter.com/id/status/1282334682277912576
hippo_bald,2020-07-12 15:09:54,1282331357281050629,@granblueen Only Kumbhīra has no skin because Kumbhīra is a black character ,https://pbs.twimg.com/media/EcvBGpRUMAACHu2.jpg ,0,0,GranblueFantasy BlackOutTuesday BlackLivesMatter ,https://t.co/JDeTvEBjue,https://twitter.com/id/status/1282331357281050629
HannahC33668187,2020-07-12 15:01:05,1282329139060629505, @AishaHinds DEAR NONBLACK ALLY WHAT CAN YOU DO TODAY IN SOLIDARITY AMPLIFY THE VOICES OF BLACK PEOPLE DURING ,empty,40842,19241,BLACKOUTTUESDAY ,,https://twitter.com/id/status/1282329139060629505
entangle55,2020-07-12 14:50:03,1282326361487663105, @Kingphil71 Brand New Gaming Laptop Hp notebook 14 2019 model 4Gb Ddr4 Ram 1Tb HDD Dedicated Radeon Graphics At an affordable pr…,empty,5,1, empty ,https://t.co/qskOrnWkuC,https://twitter.com/id/status/1282326361487663105
DaddyCaneils,2020-07-12 14:47:19,1282325673357594624,@lllebzlll Nobody told me about and I bought the fam Zaxbys I coulda ate black they fake woke,empty,0,0,BlackOutTuesday ,,https://twitter.com/id/status/1282325673357594624
Rumeisa11,2020-07-12 14:44:46,1282325030014259201, @TazzzArtist “Until the colour of your skin is the target you will never understand” HATE is not the answer LOVE is ,empty,7,1, empty ,,https://twitter.com/id/status/1282325030014259201
ShannonHenryy,2020-07-12 14:26:52,1282320527542177792, @Alizzeeeeee @bribuckets My boyfriend does logos and digital art His Instagram is @teamworksdesigns amp website is ,empty,3,1, empty ,https://t.co/a0GUeKAc48 https://t.co/QNFIabP90p,https://twitter.com/id/status/1282320527542177792
ehret_lisa,2020-07-12 14:02:43,1282314450880454659,Add me on Snap bird5924 ,https://pbs.twimg.com/media/EcuyKsqU8AcZ8dc.jpg ,0,0,chat USAonFire BunkerBoy girl blackouttuesday bwc cum fun bored horny BunkerDon boobs ,https://t.co/oAJtEwoE5E,https://twitter.com/id/status/1282314450880454659
arableslieknope,2020-07-12 13:55:17,1282312578971193347, @arableslieknope Dallas peeps here are some black owned businesses you can support ,https://pbs.twimg.com/media/EZjYT8mXgAEiCA2.jpg https://pbs.twimg.com/media/EZjYT8nWoAAWDyy.jpg ,3,3,BlackOutTuesday ,https://t.co/MucRSVbzrx,https://twitter.com/id/status/1282312578971193347
arableslieknope,2020-07-12 13:55:15,1282312568313454592, @arableslieknope Tulsa peeps here are some black owned businesses you can support ,https://pbs.twimg.com/media/EZjXDArXkAQdwns.jpg https://pbs.twimg.com/media/EZjXDAuXsAE08Ru.jpg ,13,9,BlackOutTuesday ,https://t.co/cJrVLseX6n,https://twitter.com/id/status/1282312568313454592
arableslieknope,2020-07-12 13:55:13,1282312559505420288, @arableslieknope OKC peeps here are some black owned businesses you can support ,https://pbs.twimg.com/media/EZjWjAtWsAgzkn5.jpg https://pbs.twimg.com/media/EZjWjAtWoAAClqV.jpg ,6,2,BlackOutTuesday ,https://t.co/XVtesMcFhO,https://twitter.com/id/status/1282312559505420288
arableslieknope,2020-07-12 13:55:10,1282312550613487618, @arableslieknope Houston peeps here are some black owned businesses you can support ,https://pbs.twimg.com/media/EZjWWZTXkAAfle5.jpg ,6,3,BlackOutTuesday ,https://t.co/0Qv8PvRIUZ,https://twitter.com/id/status/1282312550613487618
MLaridious,2020-07-12 13:53:52,1282312221217914880, @NoodlezUSA USA will never heal if we have a “tit for tat” mindset USA will never heal w a “black versus white” mindset Until we as…,empty,416,455, empty ,https://t.co/RiyDfxByuw,https://twitter.com/id/status/1282312221217914880
Lana33581032,2020-07-12 13:41:40,1282309152971255808,Add me on Snap bird5924 @ddlovato ,https://pbs.twimg.com/media/EcutX_ZUMAERoT9.jpg ,0,0,chat USAonFire BunkerBoy girl blackouttuesday bwc cum fun bored horny BunkerDon boobs wednesdaymorning Beautiful WednesdayWisdom friendship Spoedwet ,https://t.co/aiLfZATQEH,https://twitter.com/id/status/1282309152971255808
AnnaRose1684,2020-07-12 13:32:29,1282306839212892160, @dwaynenjazz No vids on any of our channels today but instead you can help make a change by doing any of these  htt…,empty,836,272,BlackOutTuesday ,https://t.co/XrZFmtQW2d,https://twitter.com/id/status/1282306839212892160
gafiw_mt,2020-07-12 13:31:48,1282306667581861894, @duhitzmark I will be participating in along with everyone else I’ll be back on social media Wednesday I love you al…,empty,1689,151,BlackOutTuesday ,,https://twitter.com/id/status/1282306667581861894
FoodTravel08,2020-07-12 13:17:32,1282303079044521985, @BrittanyiCandy Visit my spa  CannaBSpa Georgia’s 1st cannabis spa An all CBDHemp infused treatment spa A naturally beneficial e…,empty,18,8, empty ,https://t.co/c8QpLx6xvx https://t.co/JLC82alEFL,https://twitter.com/id/status/1282303079044521985
JustBot7,2020-07-12 13:12:45,1282301874914365440, @EbonyFu28212444 There are a million masks on there but the one that says black queen is a violation really @Mercari ,empty,0,1,mercari ,https://t.co/HWeEYuKS0W,https://twitter.com/id/status/1282301874914365440
EbonyFu28212444,2020-07-12 13:09:33,1282301068995702785,There are a million masks on there but the one that says black queen is a violation really @Mercari ,https://pbs.twimg.com/media/EcumBYfXYAE_CSa.jpg https://pbs.twimg.com/media/EcumBkhXoAIKTnq.jpg ,0,1,mercari mercariseller blm blacklivesmatter georgefloyd justiceforgeorgefloyd protest love justice racism trump black blackgirlmagic equality blackouttuesday ,https://t.co/HWeEYuKS0W,https://twitter.com/id/status/1282301068995702785
ohnaka1011010,2020-07-12 12:56:15,1282297723610378240, @FiveStarTech We are committed to learning and growing This applies to education technology and most importantly issues of racial…,empty,23,5, empty ,,https://twitter.com/id/status/1282297723610378240
Jonny_Dest,2020-07-12 12:48:40,1282295813935374336, @radiogoham HAD TO  Shit talk real brief it’s ether express our selves or die   @YG ,empty,11,8,FTB blackouttuesday ,https://t.co/IQ5mrOjrWc,https://twitter.com/id/status/1282295813935374336
SBBExpo,2020-07-12 12:38:56,1282293362352103424, @HerbalSkys My name is Jessica amp Im the owner of Skys Herbal Our products are organically grown from seed to harvest Skys the limi…,empty,2,2, empty ,https://t.co/HGT4QI00E0,https://twitter.com/id/status/1282293362352103424
moodyunicornte1,2020-07-12 12:38:42,1282293305452064768, @MeganPlays The world has a lot of scary stuff going on Remember to treat everyone you meet with respect everyone is human Break thi…,empty,1065,70, empty ,https://t.co/bsU0ddpnYM https://t.co/DiCrpmWvvH,https://twitter.com/id/status/1282293305452064768
acidwubz,2020-07-12 12:34:59,1282292370583834625, @HerbalSkys My name is Jessica amp Im the owner of Skys Herbal Our products are organically grown from seed to harvest Skys the limi…,empty,2,2, empty ,https://t.co/HGT4QI00E0,https://twitter.com/id/status/1282292370583834625
MINORITEES,2020-07-12 12:19:55,1282288578446458880,STAY STRONG “STAY PUFFED” The 16 Year Anniversary Collection is HERE ,empty,2,0,SelfcareSunday tshirts tshirt tshirtdesign teeshirts shirts black blackouttuesday gay lgbt culture new ,"https://t.co/3I2a0b5AaC

https://t.co/dmIWw8S47t",https://twitter.com/id/status/1282288578446458880
CHLOELEUNG113,2020-07-12 11:59:53,1282283538771935243, They did nothing They are the kindest and strongest women Solar voice out in SOLASIDO to help women Moonbyul Wheein and Hwasa voice out for Why you guys said that they discriminate Black ,https://pbs.twimg.com/media/EcuWE9xU0AIv49k.jpg ,5,0,RespectMAMAMOO BlackOutTuesday ,https://t.co/pQPRPSN1DH,https://twitter.com/id/status/1282283538771935243
elikem_tay,2020-07-12 11:54:24,1282282155507408897, @ExMusRus Ugandan maids in Saudi Arabia pleading for help Middle East is the worst when it comes to racism If y…,empty,10217,8191,BlackOutTuesday ,https://t.co/FgqqqVjZFi,https://twitter.com/id/status/1282282155507408897
hyuckman2046,2020-07-12 11:35:49,1282277479059722240, @nocontxtmulaney instead of posting a black screen I want to ask if any of my black followers or just black people in general don’t ha…,empty,1177,262, empty ,,https://twitter.com/id/status/1282277479059722240
jessiesent,2020-07-12 11:35:42,1282277450899050497, @nocontxtmulaney instead of posting a black screen I want to ask if any of my black followers or just black people in general don’t ha…,empty,1177,262, empty ,,https://twitter.com/id/status/1282277450899050497
jaymierp,2020-07-12 11:28:22,1282275606017855488, @TruTexan0909 @BeardVet @rigginsjack @bournecia @covGretchen @DarlaShine @DevilDog3325 @DrNealHouston @JFlippo1327 @jaymierp @There…,empty,9,3, empty ,https://t.co/e2XIsB8DCU,https://twitter.com/id/status/1282275606017855488
DublencoIgor,2020-07-12 10:49:42,1282265872485285888, @muhddoguru We are created equally ,https://pbs.twimg.com/media/EZhPB_ZXQAMZSGJ.jpg ,3,1,blackouttuesday ,https://t.co/A74KxuTDrv,https://twitter.com/id/status/1282265872485285888
eKaYTeNshi,2020-07-12 10:34:56,1282262158705856512, @Msblkcreativity Happy Today I am debuting my Fist in the air earrings They match with my mask and…,empty,0,1,blackouttuesday blacklivesmatter ,https://t.co/VE1wl5Xxt1,https://twitter.com/id/status/1282262158705856512
Areebakhan02,2020-07-12 10:18:36,1282258045972680710, @hayatsmma We all are ONE race called homosapians Living on a tiny pale blue dot in the vast universe in which there are more than qui…,empty,134,19, empty ,https://t.co/pWuJCqCl6Y,https://twitter.com/id/status/1282258045972680710
Tazz99642497,2020-07-12 08:20:38,1282228362140934144, @k33l8 EVEN THE SMALLEST CONTRIBUTION CAN MAKE A HUGE DIFFERENCE PLEASE HELP FIND NAYA ,empty,14,8,    Census BAME ,"https://t.co/IbgJpoQChY
https://t.co/YQeKBypPXn",https://twitter.com/id/status/1282228362140934144
scribbIescratch,2020-07-12 07:44:33,1282219281103683586, @readytostare A list of 14 Blackowned businesses that make plus size clothing and aessories to support for ,empty,1436,1305,BlackOutTuesday ,https://t.co/yp2aBX00UO https://t.co/RatO8qG4To,https://twitter.com/id/status/1282219281103683586
TachaChi,2020-07-12 06:33:41,1282201445178187776, @NatachaAkideFN We want to live in a world where everyone is treated as equal irrespective of their nationality or race WE ARE ALL EQ…,empty,782,290, empty ,https://t.co/hl5nvDfRNf,https://twitter.com/id/status/1282201445178187776
AimeeWilson,2020-07-12 06:29:56,1282200500063162368,Black women are killed by Police too ,https://pbs.twimg.com/media/EctKjnAXgAE5W13.jpg ,0,0,JusticeforBreonnaTaylor BlackOutTuesday ,https://t.co/xoB9p0TBvJ,https://twitter.com/id/status/1282200500063162368
autumn_in_agust,2020-07-12 06:00:59,1282193216465448960, @ava I’m told began to create space for white folks to learntalkreadthink about racism Okay Add this to your agen…,empty,48180,16429,BlackOutTuesday ,https://t.co/lWBd8gLq35,https://twitter.com/id/status/1282193216465448960
sadboiiizzz,2020-07-12 04:55:26,1282176719303004161, @readytostare A list of 14 Blackowned businesses that make plus size clothing and aessories to support for ,empty,1436,1305,BlackOutTuesday ,https://t.co/yp2aBX00UO https://t.co/RatO8qG4To,https://twitter.com/id/status/1282176719303004161
stormysky916,2020-07-12 04:43:31,1282173722401677313, @PriscillaShirer Just Micah 68  ,https://pbs.twimg.com/media/EZhZQK-X0AEWwkw.jpg ,2332,427,BlackOutTuesday ,https://t.co/PMcxJXHLya,https://twitter.com/id/status/1282173722401677313
edjlazar,2020-07-12 04:18:21,1282167387442176000, @DileeInc When will enough people realize when we hurt others we hurt ourselves even more in the end  W…,empty,10,13,BlackOutTuesday UniversalLaw ,https://t.co/KqM9YwDUJT,https://twitter.com/id/status/1282167387442176000
EricaMokun,2020-07-12 04:05:26,1282164135887806464, @MadisonJonesTV A few weeks ago I started a side business I make custom tie dye sets In honor of consid…,empty,34,11,BlackOutTuesday BlackOutDay ,https://t.co/biJTGLNjUB,https://twitter.com/id/status/1282164135887806464
8801DEEBOYFRESH,2020-07-12 03:58:50,1282162478600687616, @americanapparel We stand in solidarity with millions of people around the world to help break this cycle of injustice We see you we…,empty,9,9, empty ,https://t.co/YLR71ijuMO,https://twitter.com/id/status/1282162478600687616
RevBruceJ1,2020-07-12 03:20:08,1282152737367486472,What we need is a broader lens that could widen our scope on money matters as a community @NAACP @AfricanaCarr @BAPACSD @ArlanWasHere @MellodyHobson @Diddy ,https://pbs.twimg.com/media/EcscQKcUwActCYZ.png ,1,0,BlackOutTuesday BlackBusiness BlackOwned VentureCapital BankBlack EconomicEmpowerment ujima cooperativeeconomics ,https://t.co/zQFjSUVhUF,https://twitter.com/id/status/1282152737367486472
noreeyyyy,2020-07-12 03:15:51,1282151660966551552, @indiasmari It cost 0 to retweet My sister does custom made tumblers please follow her IG page @ theriskytumbler This is also a bl…,empty,605,600, empty ,https://t.co/QdMeP7Jloy,https://twitter.com/id/status/1282151660966551552
dumbdykee,2020-07-12 03:14:14,1282151254307876864, @TanyaW469 @luxlunarco Yes I am a single black mom of 3 But I am also a small business owner I design and createcrochet clothing ha…,empty,4,3, empty ,https://t.co/gJUayaP5R7,https://twitter.com/id/status/1282151254307876864
amsterdiem,2020-07-12 03:07:14,1282149489822883843, @readytostare A list of 14 Blackowned businesses that make plus size clothing and aessories to support for ,empty,1436,1305,BlackOutTuesday ,https://t.co/yp2aBX00UO https://t.co/RatO8qG4To,https://twitter.com/id/status/1282149489822883843
Divah_Filez,2020-07-12 03:00:20,1282147752919654400,We love how the housewives have been supporting each other during ,https://video.twimg.com/ext_tw_video/1282147717939171328/pu/pl/4G_m0_XN7elLsjbI.m3u8?tag=10,1,0,blackouttuesday KandiBurruss beautiful gorgeous rhoa ,https://t.co/9s68ax4llx,https://twitter.com/id/status/1282147752919654400
luxceon,2020-07-12 02:50:00,1282145154804129792, @readytostare A list of 14 Blackowned businesses that make plus size clothing and aessories to support for ,empty,1436,1305,BlackOutTuesday ,https://t.co/yp2aBX00UO https://t.co/RatO8qG4To,https://twitter.com/id/status/1282145154804129792
Cavwins,2020-07-12 02:47:00,1282144400529936389, @TellerBanks If you send 357 to my PayPal dholliday777@hotmailcom I will send you new music Support Black Business ,empty,18,16, empty ,https://t.co/6zmxNuk5K3,https://twitter.com/id/status/1282144400529936389
MUXCHKIIN,2020-07-12 02:32:40,1282140792287526912, @indiasmari It cost 0 to retweet My sister does custom made tumblers please follow her IG page @ theriskytumbler This is also a bl…,empty,605,600, empty ,https://t.co/QdMeP7Jloy,https://twitter.com/id/status/1282140792287526912
wowuradio,2020-07-12 02:20:02,1282137613063815168, via @AfroOwned WE ARE LIVE  Link in bio  CEO @kharim ,https://video.twimg.com/ext_tw_video/1280647523032535040/pu/pl/Y7QXk9Y53KY82ddq.m3u8?tag=10,0,0,IndieNewz blackouttuesday blackoutday     blackownedbusinesses afrolatina blm afrolatino blackceo vanessaguillen agroeconomy blackeconomics blackwomen blackculture ,https://t.co/9Pu0RtXve3,https://twitter.com/id/status/1282137613063815168
