user_id,date,twitter_id,text,hyperlinks,likes,retweets,related_hashtags,added_url,tweet_link
callmemrmorris,2020-07-11 23:58:36,1282102018488840194,All these “influencers” posted a few weeks ago just to get back to posting selfies and sponsors What exactly are y’all trying to influence , empty , 13 ,2,BlackOutTuesday KeepThatSameEnergy ,, https://twitter.com/id/status/1282102018488840194 
LeviAshkii,2020-07-11 23:48:09,1282099388966416385, @ScottCullens BLM I cannot apologize for some ignorant white people I can only stand with you as one man who happens…, empty , 279 ,20,blackouttuesday ,https://t.co/Y6ohEPXndv, https://twitter.com/id/status/1282099388966416385 
ArtDweeb1,2020-07-11 23:42:56,1282098075872485376, @readytostare A list of 14 Blackowned businesses that make plus size clothing and aessories to support for , empty , 1435 ,1304,BlackOutTuesday ,https://t.co/yp2aBX00UO https://t.co/RatO8qG4To, https://twitter.com/id/status/1282098075872485376 
rinnyai,2020-07-11 23:42:55,1282098073775353857, @readytostare A list of 14 Blackowned businesses that make plus size clothing and aessories to support for , empty , 1435 ,1304,BlackOutTuesday ,https://t.co/yp2aBX00UO https://t.co/RatO8qG4To, https://twitter.com/id/status/1282098073775353857 
elflvr,2020-07-11 23:39:52,1282097305374666752, @readytostare A list of 14 Blackowned businesses that make plus size clothing and aessories to support for , empty , 1435 ,1304,BlackOutTuesday ,https://t.co/yp2aBX00UO https://t.co/RatO8qG4To, https://twitter.com/id/status/1282097305374666752 
MachSoul,2020-07-11 23:29:58,1282094815035957257, @SchmexyDork Shameless plug support small black owned businesses I make candles shower bombs and tea lights Heres my etsy shop a…, empty , 4 ,4, empty ,https://t.co/81AaujYpNo https://t.co/fAarKYZQY3, https://twitter.com/id/status/1282094815035957257 
BloodiedDomain,2020-07-11 22:59:50,1282087230635298816, @readytostare A list of 14 Blackowned businesses that make plus size clothing and aessories to support for , empty , 1435 ,1304,BlackOutTuesday ,https://t.co/yp2aBX00UO https://t.co/RatO8qG4To, https://twitter.com/id/status/1282087230635298816 
kingpattillo,2020-07-11 22:53:15,1282085572585164802, @readytostare A list of 14 Blackowned businesses that make plus size clothing and aessories to support for , empty , 1435 ,1304,BlackOutTuesday ,https://t.co/yp2aBX00UO https://t.co/RatO8qG4To, https://twitter.com/id/status/1282085572585164802 
KlassikJ,2020-07-11 22:44:14,1282083303768678407, @TanedraHoward If you’re looking for a black owned restaurants to spend your money with today for a here are a few in…, empty , 8 ,6,blackoutTuesday ,https://t.co/2cWtNlYtk0, https://twitter.com/id/status/1282083303768678407 
nissameta1782,2020-07-11 22:42:31,1282082874490064897, @readytostare A list of 14 Blackowned businesses that make plus size clothing and aessories to support for , empty , 1435 ,1304,BlackOutTuesday ,https://t.co/yp2aBX00UO https://t.co/RatO8qG4To, https://twitter.com/id/status/1282082874490064897 
