user_id,date,twitter_id,text,hyperlinks,likes,retweets,related_hashtags,tweet_link
 Moscreamfightp1 , 2020-07-10 23:58:56 , 1281739716660989953 ,9pm est we liveee for After the weighin the FINAL weighin #UFC251 #UFCFightIsland we will have myself @mrfatfist @MMALockerRoom @PredictionMma &amp; special guest the HIGHLIGHT himself mr @daii24_dre so come drop strap in for this @odds110 weekend! #MMATwitter https://t.co/F3QAtQO6Tf,https://video.twimg.com/ext_tw_video/1280337080758022145/pu/vid/640x640/tb37M_IEckYl1S2e.mp4?tag=10, 14 , 4 ,UFC    UFCFightIsland MMATwitter , https://twitter.com/id/status/1281739716660989953 
 steturton , 2020-07-10 23:58:56 , 1281739716094832648 ,"Pope thinks ⁦@GamebredFighter⁩’s a 'scab’ for jumping on this weekend’s #UFC251 card. Latest convo bounces from MMA to Naby Keita, with some Ron Jeremy in-between.

#Podcast
#FightIsland
#Masvidal

 https://t.co/8Wp31DSyGZ", empty , 2 , 0 ,UFC    Podcast FightIsland Masvidal , https://twitter.com/id/status/1281739716094832648 
 UFCsimp , 2020-07-10 23:58:54 , 1281739708658339849 ,"It just dawned on me, literally just now, that Alexander Volkanovski is getting finished tomorrow by Max👀

Sorry in advance champ (to be former champ) @alexvolkanovski 

#UFCFightIsland #UFC251", empty , 1 , 0 ,UFCFightIsland UFC    , https://twitter.com/id/status/1281739708658339849 
 NASTYNOE98 , 2020-07-10 23:58:41 , 1281739652064440321 ,"❤️ this Tweet for a reminder to stream #UFC251 LIVE from Fight Island on 7/11, only on ESPN+ PPV #ESPNPlus #UFCFightIsland https://t.co/TikuZaPBIi", empty , 20732 , 2453 ,UFC    ESPNPlus UFCFightIsland , https://twitter.com/id/status/1281739652064440321 
 PauloHK4 , 2020-07-10 23:58:34 , 1281739622452793347 ,"Let's finally settle the score.

🇳🇬🏆 @USMAN84kg vs 🤬🏆 @GamebredFighter 

#InAbuDhabi @VisitAbuDhabi #UFC251 https://t.co/8dXMdu0c76",https://video.twimg.com/amplify_video/1279883201893273603/vid/640x360/4SG2lilThRAk616a.mp4?tag=13, 7952 , 2465 ,InAbuDhabi UFC    , https://twitter.com/id/status/1281739622452793347 
 MUNCHmma , 2020-07-10 23:58:31 , 1281739611065192449 ,RIBAS vs VANZANT! #UFC251 is LIVE TOMORROW on @espn+ PPV at 10pm ET #InAbuDhabi https://t.co/AMbAMnLR4g,https://video.twimg.com/ext_tw_video/1281608988241678337/pu/vid/640x360/aASxZTyzQyMewSoN.mp4?tag=10, 949 , 96 ,UFC    InAbuDhabi , https://twitter.com/id/status/1281739611065192449 
 MelvinMansoor , 2020-07-10 23:58:29 , 1281739603976704000 ,"@ufc I don’t know how you guys do it! Every promo you release gives me goosebumps! Beautiful work!!! I can’t wait! #UFC251 #FightIsland 

https://t.co/7gX5abUdQu", empty , 0 , 0 ,UFC    FightIsland , https://twitter.com/id/status/1281739603976704000 
 osha3264 , 2020-07-10 23:58:27 , 1281739594858405889 ,Jorge Masvidal is box office 🏦 🎥 #UFC251, empty , 0 , 0 ,UFC    , https://twitter.com/id/status/1281739594858405889 
 JoelLundhagen , 2020-07-10 23:58:27 , 1281739592954269696 ,"""The legend of Jorge Masvidal is very real down in Miami.""

@TheRock spoke to @MeganOlivi about the origins and recent ""awakening"" of @GamebredFighter ahead of #UFC251 https://t.co/ncokTuLugV", empty , 3255 , 495 , empty , https://twitter.com/id/status/1281739592954269696 
 ChiScores , 2020-07-10 23:58:27 , 1281739592253792263 ,"UFC Card ready 🔥

$25. DM to get the card.

3-0 KBO sweep, let’s kill it again today before we commit felonious assualt upon #UFC251", empty , 17 , 5 , empty , https://twitter.com/id/status/1281739592253792263 
